id,rooms,address,price,lat,lon,canton
1,1,"Zürich, Neugasse 83",2100,47.3833042,8.5266978,zurich
2,3.5,"Zürich, Neugasse 83",3200,47.3833042,8.5266978,zurich
3,4.5,"Zürich, Neugasse 83",4000,47.3833042,8.5266978,zurich
4,2.5,"Geroldswil, Limmattalstrasse 57/59",2600,47.4211071,8.4088292,zurich
5,3,"Mönchaltorf, Langenmattstrasse 5",1390,47.3149768,8.7198911,zurich
6,4.5,"8803 Rüschlikon, Contact agency for the address",4770,47.3038811,8.5547851,zurich
7,4.5,"8143 Stallikon, Contact agency for the address",2450,47.3220119,8.4980824,zurich
8,2.5,"8805 Richterswil, Contact agency for the address",1520,47.2057479,8.7068770,zurich
9,2.5,"Zumikon, In der Gandstrasse 27",1890,47.3368002,8.6139689,zurich
10,3.5,"Effretikon, Brandrietstr. 27",1700,47.4249012,8.6875947,zurich
11,2,"Zürich, Schürgistr. 66",1490,47.4081620,8.5782124,zurich
12,3.5,"Zürich, Küngenmatt 42",1420,47.3685565,8.5052768,zurich
13,2.5,"Zürich, Schaffhauserstr. 6",2455,47.3883252,8.5394740,zurich
14,1.5,"Zürich, Schlüsselgasse 4",2250,47.3707500,8.5411764,zurich
15,2.5,"Zürich, Zentralstrasse 37",2990,47.3714793,8.5196088,zurich
16,2.5,"Wetzikon ZH, Ankengasse 6",1700,47.3334797,8.8077129,zurich
17,4.5,"Wallisellen, Zwickystrasse 10",2815,47.4054455,8.6013008,zurich
18,3.5,"8953 Dietikon, Contact agency for the address",2250,47.4097190,8.4069743,zurich
19,5.5,"Zürich, Zollikerstrasse 134",N/A,47.3564105,8.5601409,zurich
20,3.5,"8955 Oetwil an der Limmat, Contact agency for the address",2520,47.4257405,8.3981469,zurich
21,4.5,"8607 Aathal-Seegräben, Contact agency for the address",2870,47.3336597,8.7741619,zurich
22,4.5,"8712 Stäfa, Contact agency for the address",6040,47.2385310,8.7337539,zurich
23,4,"Zürich, Carl-Spitteler-Strasse 9",2150,47.3578713,8.5891291,zurich
24,1.5,"Zürich, Caspar-Wüest-Strasse 17",1411,47.4293976,8.5425324,zurich
25,1.5,"Adliswil, Isengrundstr. 38",1480,47.3167654,8.5273444,zurich
26,2.5,"8157 Dielsdorf, Contact agency for the address",2300,47.4807972,8.4499762,zurich
27,3,"Zürich, Schürgistr. 66",2290,47.4081620,8.5782124,zurich
28,3.5,"Winterthur, Unterwegli 49",1440,47.5056005,8.7546443,zurich
29,4.5,"Kloten, Hagenholzstrasse 22",1879,47.4456693,8.5937834,zurich
30,6,"Zürich, Grossmannstrasse 30",3590,47.3965435,8.5066727,zurich
31,3.5,"Zürich, Letzigraben 165",3000,47.3740665,8.4955476,zurich
32,4,"Adlikon b. Regensdorf, Loowiesenstr. 17",1500,47.4526705,8.4641339,zurich
33,3.5,"Wetzikon ZH, Elisabethenstrasse 3",1798,47.3288372,8.7968829,zurich
34,2.5,"8047 Zürich, Contact agency for the address",3900,47.3718557,8.4829975,zurich
35,1.5,"Wallisellen, Bützackerstr. 16",1130,47.4215319,8.6025101,zurich
36,5.5,"8248 Uhwiesen, Contact agency for the address",N/A,47.6701983,8.6357119,zurich
37,3.5,"8180 Bülach, Contact agency for the address",2750,47.5206902,8.5423698,zurich
38,2.5,"Adliswil, Isengrundstr. 28",1640,47.3168643,8.5279668,zurich
