id,rooms,address,price,lat,lon,canton
"1,3.5,""Lamboing, Le parlet 2"",1300,47.1171264,7.1331402,berne"
"2,1,""Bern, Kasernenstrasse 29-29A"",1400,46.9569643,7.4569723,berne"
"3,3,""Bern, Kasernenstrasse 29"",2000,46.9569643,7.4569723,berne"
"4,4,""Biel-Bienne, Ernst-Schüler 72"",1490,47.1369280,7.2473996,berne"
"5,1,""Bern, Kasernenstrasse 29"",1600,46.9569643,7.4569723,berne"
"6,2.5,""Corgémont, Quart-dessous 4"",700,47.1942197,7.1451473,berne"
"7,5.5,""Rubigen, Hölzliackerstrasse 31"",1790,46.9022443,7.5407018,berne"
"8,3,""Burgdorf, Steinhofstr. 51"",980,47.0549782,7.6141010,berne"
"9,3,""St-Imier, Rue Paul-Charmillot 57"",780,47.1559904,7.0018781,berne"
"10,3.5,""3507 Biglen, Contact agency for the address"",1375,46.9244738,7.6239658,berne"
"11,2.5,""3072 Ostermundigen, Contact agency for the address"",2050,46.9571083,7.4926961,berne"
"12,4.5,""3325 Hettiswil b. Hindelbank, Contact agency for the address"",2040,47.0404750,7.5720709,berne"
"13,3.5,""2503 Biel-Bienne, Contact agency for the address"",1870,47.1314599,7.2510222,berne"
"14,4.5,""Tramelan, Rue de l'Industrie 9"",990,47.2236466,7.0965831,berne"
"15,2.5,""4954 Wyssachen, Contact agency for the address"",980,47.0821543,7.8215141,berne"
"16,3,""Bern, Funkerstrasse 14"",1510,46.9546228,7.4596902,berne"
"17,4.5,""Münchenbuchsee, Neumattstr. (Neumatt III) 3"",1860,47.0236180,7.4548890,berne"
"18,3.5,""Corgémont, Quart-dessous 4"",1040,47.1942197,7.1451473,berne"
"19,2,""Moutier, Rue de la Liberté - 18 12-18"",835,47.2806679,7.3711515,berne"
"20,4.5,""3073 Gümligen, Contact agency for the address"",3600,46.9332797,7.5056361,berne"
"21,4,""Tramelan, Rue de l'Industrie 39"",900,47.2240877,7.0991921,berne"
"22,4.5,""Spiez, Ob. Bahnhofstr. 22b"",1680,46.6857093,7.6812800,berne"
"23,6.5,""3283 Kallnach, Contact agency for the address"",2500,47.0149809,7.2353473,berne"
"24,3,""St-Imier, Rue Sans-Souci 6"",800,47.1526199,7.0007196,berne"
